year0,dest_reg,origien_reg,flow
0,COLLABORATEUR,COLLABORATEUR,0.006579586
1,COLLABORATEUR,COLLABORATEUR,0.009983072
2,COLLABORATEUR,COLLABORATEUR,0.007353828
3,COLLABORATEUR,COLLABORATEUR,0.007863079
4,COLLABORATEUR,COLLABORATEUR,0.067533103
5,COLLABORATEUR,COLLABORATEUR,0.058758485
6,COLLABORATEUR,COLLABORATEUR,0.049207012
7,COLLABORATEUR,COLLABORATEUR,0.201190902
8,COLLABORATEUR,COLLABORATEUR,0.787755037
9,COLLABORATEUR,COLLABORATEUR,1.247938685
10,COLLABORATEUR,COLLABORATEUR,1.204068722
11,COLLABORATEUR,COLLABORATEUR,1.174256062
12,COLLABORATEUR,COLLABORATEUR,0.771401987
13,COLLABORATEUR,COLLABORATEUR,0.655495362
14,COLLABORATEUR,COLLABORATEUR,1.089087382
15,COLLABORATEUR,COLLABORATEUR,1.174466295
16,COLLABORATEUR,COLLABORATEUR,1.142829763
17,COLLABORATEUR,COLLABORATEUR,0.750631891
18,COLLABORATEUR,COLLABORATEUR,0.426697852
19,COLLABORATEUR,COLLABORATEUR,0.194058895
20,COLLABORATEUR,COLLABORATEUR,0.122103293
21,COLLABORATEUR,COLLABORATEUR,0.084697489
22,COLLABORATEUR,COLLABORATEUR,0.031243105
23,COLLABORATEUR,COLLABORATEUR,0.01378987
0,COLLABORATEUR,MANAGER,0.001487648
1,COLLABORATEUR,MANAGER,0.005165045
2,COLLABORATEUR,MANAGER,0.010487722
3,COLLABORATEUR,MANAGER,0.000165017
4,COLLABORATEUR,MANAGER,0.001562005
5,COLLABORATEUR,MANAGER,0.005960192
6,COLLABORATEUR,MANAGER,0.043306351
7,COLLABORATEUR,MANAGER,0.241407156
8,COLLABORATEUR,MANAGER,0.544576836
9,COLLABORATEUR,MANAGER,0.760932499
10,COLLABORATEUR,MANAGER,0.794667212
11,COLLABORATEUR,MANAGER,0.770083446
12,COLLABORATEUR,MANAGER,0.521551553
13,COLLABORATEUR,MANAGER,0.435949058
14,COLLABORATEUR,MANAGER,0.718686457
15,COLLABORATEUR,MANAGER,0.773749141
16,COLLABORATEUR,MANAGER,0.763424447
17,COLLABORATEUR,MANAGER,0.656670359
18,COLLABORATEUR,MANAGER,0.413206944
19,COLLABORATEUR,MANAGER,0.194831036
20,COLLABORATEUR,MANAGER,0.070403765
21,COLLABORATEUR,MANAGER,0.039992161
22,COLLABORATEUR,MANAGER,0.020588947
23,COLLABORATEUR,MANAGER,0.006475577
0,COLLABORATEUR,DIRIGEANT,0.000255392
1,COLLABORATEUR,DIRIGEANT,0
2,COLLABORATEUR,DIRIGEANT,0
3,COLLABORATEUR,DIRIGEANT,0
4,COLLABORATEUR,DIRIGEANT,0
5,COLLABORATEUR,DIRIGEANT,0
6,COLLABORATEUR,DIRIGEANT,0.000627063
7,COLLABORATEUR,DIRIGEANT,0.011417324
8,COLLABORATEUR,DIRIGEANT,0.064999176
9,COLLABORATEUR,DIRIGEANT,0.074707827
10,COLLABORATEUR,DIRIGEANT,0.089838051
11,COLLABORATEUR,DIRIGEANT,0.084588765
12,COLLABORATEUR,DIRIGEANT,0.067204944
13,COLLABORATEUR,DIRIGEANT,0.048160677
14,COLLABORATEUR,DIRIGEANT,0.077271064
15,COLLABORATEUR,DIRIGEANT,0.080172571
16,COLLABORATEUR,DIRIGEANT,0.077826156
